combination,AUROC_manchester,mean_AUROC,confidence_interval,TrueNeg_manchester,FalsePos_manchester,FalseNeg_manchester,TruePos_manchester,Sensitivity_manchester,Specificity_manchester,AUROC_partial,AUROC_severe,AUROC_gidleynoflat,TrueNeg_gidleynoflat,FalsePos_gidleynoflat,FalseNeg_gidleynoflat,TruePos_gidleynoflat,best_model_cv,model_intercept,model_coefficients,optimal_thresh
"['APTT', 'VWF', 'C8B']",0.856,0.858,[0.744 - 0.946],38,8,4,19,0.826,0.826,0.827,0.875,0.981,8,5,0,4,LogisticRegression(),-0.0056422474484697895,"[[0.9726117566666047, -1.507484144587499, -0.9347896657831813]]",0.3626089643379835
"['APTT', 'VWF', 'ENPP2']",0.857,0.856,[0.749 - 0.935],36,10,4,19,0.826,0.783,0.829,0.857,0.712,7,6,1,3,LogisticRegression(),-0.8827541359530681,"[[1.0679020340338192, -1.2789770242912835, 1.2445645680393045]]",0.33327186042776474
"['APTT', 'VWF', 'F12']",0.855,0.856,[0.757 - 0.935],37,9,4,19,0.826,0.804,0.836,0.911,0.731,4,9,0,4,LogisticRegression(),-0.9256852231346956,"[[0.9047652935121027, -1.4362817376637316, 1.1949896989958515]]",0.3147207860608212
"['APTT', 'VWF', 'KRT86']",0.855,0.855,[0.742 - 0.949],41,5,5,18,0.783,0.891,0.832,0.857,0.769,7,6,1,3,LogisticRegression(),-0.9135301652810324,"[[1.0871463978325941, -1.4645898147174234, 1.005417152354813]]",0.3691410507595773
"['APTT', 'VWF', 'CHL1']",0.855,0.854,[0.757 - 0.94],42,4,7,16,0.696,0.913,0.815,0.964,0.865,10,3,1,3,LogisticRegression(),-0.6479194069914467,"[[1.0521119945333683, -1.5400603632237753, 0.8144646212170428]]",0.378190197427506
"['APTT', 'VWF', 'IL1RAP']",0.855,0.854,[0.749 - 0.95],37,9,4,19,0.826,0.804,0.827,0.893,0.904,10,3,0,4,LogisticRegression(),-0.9187074427597204,"[[1.3170318765165023, -1.0444510318564268, 1.244359629677932]]",0.38069119310050975
"['APTT', 'VWF', 'C4A']",0.852,0.851,[0.748 - 0.93],36,10,5,18,0.783,0.783,0.863,0.768,0.942,8,5,0,4,LogisticRegression(),-0.07391217124941304,"[[1.266111464319858, -1.0269894256451844, -0.951972923790888]]",0.34717332523784206
"['APTT', 'VWF', 'SPARCL1']",0.849,0.849,[0.742 - 0.946],40,6,5,18,0.783,0.87,0.843,0.839,0.904,9,4,1,3,LogisticRegression(),-0.2965253151536538,"[[1.1841120213967697, -1.1459387131634233, -0.9928307111705167]]",0.3779869586252691
"['APTT', 'VWF', 'GGH']",0.849,0.849,[0.737 - 0.939],37,9,4,19,0.826,0.804,0.817,0.946,0.942,8,5,0,4,LogisticRegression(),-0.7135258605701092,"[[1.0673573053847845, -1.4100588960053855, 0.8725331271759226]]",0.3441921165139915
"['APTT', 'VWF', 'APOL1']",0.845,0.847,[0.736 - 0.932],36,10,5,18,0.783,0.783,0.797,0.982,0.769,6,7,1,3,LogisticRegression(),-0.9452945622268977,"[[1.1306350246246948, -1.0863753894310921, 1.2354585539773422]]",0.3398084247584732
"['APTT', 'VWF', 'PRG2']",0.848,0.845,[0.736 - 0.929],37,9,4,19,0.826,0.804,0.848,0.804,0.769,8,5,1,3,LogisticRegression(),-0.28235251001707684,"[[1.0488556204115131, -1.4996230503537533, -0.7608146613660243]]",0.35536174476946286
"['APTT', 'VWF', 'FVIII']",0.846,0.844,[0.734 - 0.929],42,4,8,15,0.652,0.913,0.805,0.893,0.865,9,4,1,3,LogisticRegression(),-0.004490508447919929,"[[1.225238492697009, -1.1209336582606904, -1.159590310660708]]",0.3769249218621567
"['APTT', 'VWF', 'CFD']",0.844,0.843,[0.74 - 0.932],38,8,5,18,0.783,0.826,0.819,0.857,0.904,9,4,0,4,LogisticRegression(),-0.5853812510332053,"[[0.9539484291478577, -1.5757122570028215, 0.6360735702353602]]",0.3607654962617456
